customer_id,name,email,membership_age,revenue,preferred_film_language,preferred_film_category,city,preferred_film_year
19,RUTH MARTINEZ,RUTH.MARTINEZ@sakilacustomer.org,183.0,125.76,['English             '],"['Action', 'Games', 'Horror', 'Sports', 'Travel']",Kimberley,['00s']
20,SHARON ROBINSON,SHARON.ROBINSON@sakilacustomer.org,183.0,115.7,['English             '],"['Action', 'Children', 'Comedy', 'Family', 'Sports']",Mardan,['00s']
21,MICHELLE CLARK,MICHELLE.CLARK@sakilacustomer.org,183.0,155.65,['English             '],"['Action', 'Family', 'Foreign', 'Sci-Fi', 'Sports']",Tangail,['00s']
22,LAURA RODRIGUEZ,LAURA.RODRIGUEZ@sakilacustomer.org,183.0,113.78,['English             '],"['Action', 'Animation', 'Comedy', 'Foreign', 'Sports']",Sal,['00s']
23,SARAH LEWIS,SARAH.LEWIS@sakilacustomer.org,183.0,119.7,['English             '],"['Animation', 'Family', 'Horror', 'Sci-Fi', 'Sports']",Liepaja,['00s']
24,KIMBERLY LEE,KIMBERLY.LEE@sakilacustomer.org,183.0,95.75,['English             '],"['Animation', 'Children', 'Classics', 'Games', 'Travel']",Crdoba,['00s']
25,DEBORAH WALKER,DEBORAH.WALKER@sakilacustomer.org,183.0,115.71,['English             '],"['Classics', 'Drama', 'Foreign', 'Horror', 'Sci-Fi']",Shikarpur,['00s']
26,JESSICA HALL,JESSICA.HALL@sakilacustomer.org,183.0,152.66,['English             '],"['Action', 'Documentary', 'Drama', 'Foreign', 'Horror']",Citt del Vaticano,['00s']
27,SHIRLEY ALLEN,SHIRLEY.ALLEN@sakilacustomer.org,183.0,126.69,['English             '],"['Animation', 'Children', 'Classics', 'Foreign', 'Sports']",Davao,['00s']
28,CYNTHIA YOUNG,CYNTHIA.YOUNG@sakilacustomer.org,183.0,111.68,['English             '],"['Action', 'Documentary', 'Drama', 'Family', 'Sci-Fi']",Munger (Monghyr),['00s']
29,ANGELA HERNANDEZ,ANGELA.HERNANDEZ@sakilacustomer.org,183.0,140.64,['English             '],"['Animation', 'Children', 'Documentary', 'Family', 'Horror']",Shimonoseki,['00s']
30,MELISSA KING,MELISSA.KING@sakilacustomer.org,183.0,123.66,['English             '],"['Action', 'Children', 'Comedy', 'Documentary', 'Travel']",Lungtan,['00s']
31,BRENDA WRIGHT,BRENDA.WRIGHT@sakilacustomer.org,183.0,104.74,['English             '],"['Action', 'Classics', 'Documentary', 'Foreign', 'Games']",Kamarhati,['00s']
32,AMY LOPEZ,AMY.LOPEZ@sakilacustomer.org,183.0,127.71,['English             '],"['Action', 'Animation', 'Classics', 'Comedy', 'Games']",Jhansi,['00s']
33,ANNA HILL,ANNA.HILL@sakilacustomer.org,183.0,91.79,['English             '],"['Animation', 'Children', 'Classics', 'Comedy', 'Sports']",Alessandria,['00s']
34,REBECCA SCOTT,REBECCA.SCOTT@sakilacustomer.org,183.0,89.76,['English             '],"['Comedy', 'Drama', 'Games', 'Horror', 'Travel']",Kurashiki,['00s']
35,VIRGINIA GREEN,VIRGINIA.GREEN@sakilacustomer.org,183.0,129.68,['English             '],"['Comedy', 'Drama', 'Foreign', 'Sci-Fi', 'Sports']",Toulouse,['00s']
36,KATHLEEN ADAMS,KATHLEEN.ADAMS@sakilacustomer.org,183.0,92.73,['English             '],"['Animation', 'Children', 'Classics', 'Comedy', 'Music']",Arak,['00s']
37,PAMELA BAKER,PAMELA.BAKER@sakilacustomer.org,183.0,95.77,['English             '],"['Classics', 'Comedy', 'Family', 'Horror', 'Music']",Nanyang,['00s']
38,MARTHA GONZALEZ,MARTHA.GONZALEZ@sakilacustomer.org,183.0,127.66,['English             '],"['Animation', 'Children', 'Classics', 'Foreign', 'Games']",Chisinau,['00s']
39,DEBRA NELSON,DEBRA.NELSON@sakilacustomer.org,183.0,141.71,['English             '],"['Animation', 'Drama', 'Family', 'Horror', 'Travel']",Vila Velha,['00s']
40,AMANDA CARTER,AMANDA.CARTER@sakilacustomer.org,183.0,110.73,['English             '],"['Action', 'Children', 'Comedy', 'Drama', 'Horror']",Nador,['00s']
41,STEPHANIE MITCHELL,STEPHANIE.MITCHELL@sakilacustomer.org,183.0,118.75,['English             '],"['Animation', 'Drama', 'Foreign', 'Horror', 'Sci-Fi']",Yerevan,['00s']
42,CAROLYN PEREZ,CAROLYN.PEREZ@sakilacustomer.org,183.0,117.7,['English             '],"['Action', 'Documentary', 'Drama', 'Sci-Fi', 'Travel']",Pak Kret,['00s']
43,CHRISTINE ROBERTS,CHRISTINE.ROBERTS@sakilacustomer.org,183.0,99.76,['English             '],"['Action', 'Classics', 'Drama', 'Family', 'Foreign']",Faaa,['00s']
44,MARIE TURNER,MARIE.TURNER@sakilacustomer.org,183.0,114.74,['English             '],"['Animation', 'Comedy', 'Horror', 'Music', 'Travel']",Lipetsk,['00s']
45,JANET PHILLIPS,JANET.PHILLIPS@sakilacustomer.org,183.0,127.73,['English             '],"['Classics', 'Drama', 'Games', 'Horror', 'Sci-Fi']",Antofagasta,['00s']
46,CATHERINE CAMPBELL,CATHERINE.CAMPBELL@sakilacustomer.org,183.0,142.66,['English             '],"['Animation', 'Classics', 'Games', 'Horror', 'Travel']",Moscow,['00s']
47,FRANCES PARKER,FRANCES.PARKER@sakilacustomer.org,183.0,108.78,['English             '],"['Animation', 'Children', 'Comedy', 'Documentary', 'Drama']",Juazeiro do Norte,['00s']
48,ANN EVANS,ANN.EVANS@sakilacustomer.org,183.0,76.83,['English             '],"['Animation', 'Children', 'Drama', 'Foreign', 'Music']",Niznekamsk,['00s']
49,JOYCE EDWARDS,JOYCE.EDWARDS@sakilacustomer.org,183.0,130.72,['English             '],"['Animation', 'Children', 'Drama', 'Family', 'Games']",Jedda,['00s']
50,DIANE COLLINS,DIANE.COLLINS@sakilacustomer.org,183.0,169.65,['English             '],"['Children', 'Documentary', 'Foreign', 'Horror', 'Music']",Omdurman,['00s']
51,ALICE STEWART,ALICE.STEWART@sakilacustomer.org,183.0,138.67,['English             '],"['Animation', 'Comedy', 'Documentary', 'Drama', 'Games']",Fontana,['00s']
52,JULIE SANCHEZ,JULIE.SANCHEZ@sakilacustomer.org,183.0,107.71,['English             '],"['Action', 'Children', 'Classics', 'Comedy', 'Documentary']",A Corua (La Corua),['00s']
53,HEATHER MORRIS,HEATHER.MORRIS@sakilacustomer.org,183.0,115.7,['English             '],"['Action', 'Animation', 'Classics', 'Documentary', 'Sports']",Nagareyama,['00s']
54,TERESA ROGERS,TERESA.ROGERS@sakilacustomer.org,183.0,128.71,['English             '],"['Animation', 'Classics', 'Comedy', 'Family', 'Games']",Iwakuni,['00s']
55,DORIS REED,DORIS.REED@sakilacustomer.org,183.0,100.78,['English             '],"['Documentary', 'Family', 'Foreign', 'Horror', 'Sports']",Balaiha,['00s']
56,GLORIA COOK,GLORIA.COOK@sakilacustomer.org,183.0,135.7,['English             '],"['Action', 'Classics', 'Comedy', 'Drama', 'Horror']",Papeete,['00s']
57,EVELYN MORGAN,EVELYN.MORGAN@sakilacustomer.org,183.0,114.72,['English             '],"['Classics', 'Drama', 'Foreign', 'Horror', 'Sci-Fi']",Vaduz,['00s']
58,JEAN BELL,JEAN.BELL@sakilacustomer.org,183.0,115.73,['English             '],"['Action', 'Comedy', 'Drama', 'Foreign', 'Games']",Kuching,['00s']
59,CHERYL MURPHY,CHERYL.MURPHY@sakilacustomer.org,183.0,133.73,['English             '],"['Comedy', 'Documentary', 'Family', 'Sports', 'Travel']",Mysore,['00s']
60,MILDRED BAILEY,MILDRED.BAILEY@sakilacustomer.org,183.0,98.75,['English             '],"['Children', 'Drama', 'Foreign', 'Music', 'Sports']",Jaipur,['00s']
61,KATHERINE RIVERA,KATHERINE.RIVERA@sakilacustomer.org,183.0,58.86,['English             '],"['Classics', 'Documentary', 'Music', 'Sci-Fi', 'Sports']",Basel,['00s']
62,JOAN COOPER,JOAN.COOPER@sakilacustomer.org,183.0,84.77,['English             '],"['Animation', 'Documentary', 'Horror', 'Music', 'Sci-Fi']",Saint Louis,['00s']
63,ASHLEY RICHARDSON,ASHLEY.RICHARDSON@sakilacustomer.org,183.0,112.75,['English             '],"['Action', 'Children', 'Comedy', 'Documentary', 'Family']",Lincoln,['00s']
64,JUDITH COX,JUDITH.COX@sakilacustomer.org,183.0,100.67,['English             '],"['Action', 'Animation', 'Comedy', 'Documentary', 'Music']",Daxian,['00s']
65,ROSE HOWARD,ROSE.HOWARD@sakilacustomer.org,183.0,103.78,['English             '],"['Animation', 'Comedy', 'Documentary', 'Drama', 'Foreign']",Cayenne,['00s']
66,JANICE WARD,JANICE.WARD@sakilacustomer.org,183.0,144.66,['English             '],"['Action', 'Classics', 'Drama', 'Games', 'Horror']",Malm,['00s']
67,KELLY TORRES,KELLY.TORRES@sakilacustomer.org,183.0,99.78,['English             '],"['Action', 'Comedy', 'Drama', 'Family', 'Horror']",Xiangtan,['00s']
68,NICOLE PETERSON,NICOLE.PETERSON@sakilacustomer.org,183.0,94.78,['English             '],"['Children', 'Classics', 'Family', 'Games', 'Horror']",Shivapuri,['00s']
69,JUDY GRAY,JUDY.GRAY@sakilacustomer.org,183.0,96.75,['English             '],"['Family', 'Games', 'Horror', 'Music', 'Sci-Fi']",Bchar,['00s']
70,CHRISTINA RAMIREZ,CHRISTINA.RAMIREZ@sakilacustomer.org,183.0,80.82,['English             '],"['Action', 'Animation', 'Family', 'Horror', 'Sports']",al-Hawiya,['00s']
71,KATHY JAMES,KATHY.JAMES@sakilacustomer.org,183.0,129.7,['English             '],"['Animation', 'Drama', 'Foreign', 'Music', 'Sports']",Baybay,['00s']
72,THERESA WATSON,THERESA.WATSON@sakilacustomer.org,183.0,99.7,['English             '],"['Animation', 'Drama', 'Music', 'Sports', 'Travel']",Taguig,['00s']
73,BEVERLY BROOKS,BEVERLY.BROOKS@sakilacustomer.org,183.0,97.76,['English             '],"['Children', 'Documentary', 'Foreign', 'Games', 'Horror']",Chiayi,['00s']
74,DENISE KELLY,DENISE.KELLY@sakilacustomer.org,183.0,103.73,['English             '],"['Animation', 'Children', 'Classics', 'Sci-Fi', 'Sports']",Rio Claro,['00s']
75,TAMMY SANDERS,TAMMY.SANDERS@sakilacustomer.org,183.0,155.59,['English             '],"['Children', 'Classics', 'Drama', 'Foreign', 'Games']",Changhwa,['00s']
76,IRENE PRICE,IRENE.PRICE@sakilacustomer.org,183.0,77.77,['English             '],"['Action', 'Animation', 'Children', 'Documentary', 'Games']",Pavlodar,['00s']
77,JANE BENNETT,JANE.BENNETT@sakilacustomer.org,183.0,100.72,['English             '],"['Classics', 'Documentary', 'Games', 'Horror', 'Sports']",Araatuba,['00s']
78,LORI WOOD,LORI.WOOD@sakilacustomer.org,183.0,141.69,['English             '],"['Animation', 'Drama', 'Games', 'Sci-Fi', 'Sports']",Rae Bareli,['00s']
79,RACHEL BARNES,RACHEL.BARNES@sakilacustomer.org,183.0,84.78,['English             '],"['Documentary', 'Family', 'Foreign', 'Sci-Fi', 'Travel']",Kamakura,['00s']
80,MARILYN ROSS,MARILYN.ROSS@sakilacustomer.org,183.0,137.7,['English             '],"['Action', 'Animation', 'Classics', 'Family', 'Games']",Ife,['00s']
81,ANDREA HENDERSON,ANDREA.HENDERSON@sakilacustomer.org,183.0,93.78,['English             '],"['Family', 'Games', 'Horror', 'Sports', 'Travel']",Mahajanga,['00s']
82,KATHRYN COLEMAN,KATHRYN.COLEMAN@sakilacustomer.org,183.0,130.74,['English             '],"['Action', 'Animation', 'Drama', 'Sci-Fi', 'Travel']",Simferopol,['00s']
83,LOUISE JENKINS,LOUISE.JENKINS@sakilacustomer.org,183.0,101.75,['English             '],"['Action', 'Animation', 'Classics', 'Family', 'Sci-Fi']",Springs,['00s']
84,SARA PERRY,SARA.PERRY@sakilacustomer.org,183.0,141.67,['English             '],"['Animation', 'Documentary', 'Foreign', 'Games', 'Sports']",Atlixco,['00s']
85,ANNE POWELL,ANNE.POWELL@sakilacustomer.org,183.0,87.77,['English             '],"['Action', 'Classics', 'Comedy', 'Drama', 'Sci-Fi']",Bradford,['00s']
86,JACQUELINE LONG,JACQUELINE.LONG@sakilacustomer.org,183.0,148.67,['English             '],"['Animation', 'Documentary', 'Foreign', 'Sports', 'Travel']",Songkhla,['00s']
87,WANDA PATTERSON,WANDA.PATTERSON@sakilacustomer.org,183.0,145.7,['English             '],"['Children', 'Classics', 'Drama', 'Sci-Fi', 'Sports']",Sincelejo,['00s']
88,BONNIE HUGHES,BONNIE.HUGHES@sakilacustomer.org,183.0,87.79,['English             '],"['Animation', 'Family', 'Games', 'Music', 'Travel']",Cheju,['00s']
89,JULIA FLORES,JULIA.FLORES@sakilacustomer.org,183.0,134.68,['English             '],"['Action', 'Comedy', 'Documentary', 'Drama', 'Sports']",La Plata,['00s']
90,RUBY WASHINGTON,RUBY.WASHINGTON@sakilacustomer.org,183.0,110.72,['English             '],"['Animation', 'Documentary', 'Horror', 'Music', 'Sci-Fi']",Meixian,['00s']
91,LOIS BUTLER,LOIS.BUTLER@sakilacustomer.org,183.0,113.65,['English             '],"['Action', 'Children', 'Comedy', 'Documentary', 'Sports']",Bandar Seri Begawan,['00s']
92,TINA SIMMONS,TINA.SIMMONS@sakilacustomer.org,183.0,133.72,['English             '],"['Action', 'Comedy', 'Documentary', 'Family', 'Travel']",Goinia,['00s']
93,PHYLLIS FOSTER,PHYLLIS.FOSTER@sakilacustomer.org,183.0,91.77,['English             '],"['Classics', 'Foreign', 'Horror', 'Music', 'Sports']",Zalantun,['00s']
94,NORMA GONZALES,NORMA.GONZALES@sakilacustomer.org,183.0,79.79,['English             '],"['Action', 'Animation', 'Documentary', 'Games', 'Sci-Fi']",Bislig,['00s']
95,PAULA BRYANT,PAULA.BRYANT@sakilacustomer.org,183.0,77.82,['English             '],"['Classics', 'Comedy', 'Documentary', 'Drama', 'Foreign']",Pathankot,['00s']
96,DIANA ALEXANDER,DIANA.ALEXANDER@sakilacustomer.org,183.0,105.73,['English             '],"['Action', 'Classics', 'Documentary', 'Foreign', 'Games']",Augusta-Richmond County,['00s']
97,ANNIE RUSSELL,ANNIE.RUSSELL@sakilacustomer.org,183.0,58.82,['English             '],"['Action', 'Animation', 'Family', 'Foreign', 'Music']",Tete,['00s']
98,LILLIAN GRIFFIN,LILLIAN.GRIFFIN@sakilacustomer.org,183.0,106.75,['English             '],"['Action', 'Documentary', 'Horror', 'Music', 'Sports']",al-Ayn,['00s']
99,EMILY DIAZ,EMILY.DIAZ@sakilacustomer.org,183.0,91.76,['English             '],"['Animation', 'Family', 'Games', 'Sci-Fi', 'Sports']",Kimchon,['00s']
100,ROBIN HAYES,ROBIN.HAYES@sakilacustomer.org,183.0,102.76,['English             '],"['Action', 'Animation', 'Classics', 'Comedy', 'Drama']",Jelets,['00s']
101,PEGGY MYERS,PEGGY.MYERS@sakilacustomer.org,183.0,96.76,['English             '],"['Animation', 'Horror', 'Sci-Fi', 'Sports', 'Travel']",Abha,['00s']
102,CRYSTAL FORD,CRYSTAL.FORD@sakilacustomer.org,183.0,137.67,['English             '],"['Classics', 'Drama', 'Games', 'Sci-Fi', 'Sports']",Ashdod,['00s']
103,GLADYS HAMILTON,GLADYS.HAMILTON@sakilacustomer.org,183.0,146.69,['English             '],"['Action', 'Animation', 'Drama', 'Sports', 'Travel']",Ilorin,['00s']
104,RITA GRAHAM,RITA.GRAHAM@sakilacustomer.org,183.0,92.76,['English             '],"['Documentary', 'Drama', 'Family', 'Foreign', 'Sports']",Toulon,['00s']
105,DAWN SULLIVAN,DAWN.SULLIVAN@sakilacustomer.org,183.0,120.74,['English             '],"['Children', 'Horror', 'Music', 'Sci-Fi', 'Sports']",Funafuti,['00s']
106,CONNIE WALLACE,CONNIE.WALLACE@sakilacustomer.org,183.0,100.77,['English             '],"['Classics', 'Drama', 'Games', 'Horror', 'Travel']",Ivanovo,['00s']
107,FLORENCE WOODS,FLORENCE.WOODS@sakilacustomer.org,183.0,126.7,['English             '],"['Documentary', 'Games', 'Horror', 'Sci-Fi', 'Sports']",Merlo,['00s']
108,TRACY COLE,TRACY.COLE@sakilacustomer.org,183.0,132.7,['English             '],"['Animation', 'Comedy', 'Documentary', 'Family', 'Sci-Fi']",Huixquilucan,['00s']
109,EDNA WEST,EDNA.WEST@sakilacustomer.org,183.0,107.74,['English             '],"['Classics', 'Drama', 'Games', 'Sci-Fi', 'Sports']",Klerksdorp,['00s']
110,TIFFANY JORDAN,TIFFANY.JORDAN@sakilacustomer.org,183.0,59.86,['English             '],"['Action', 'Animation', 'Documentary', 'Foreign', 'Horror']",Enshi,['00s']
111,CARMEN OWENS,CARMEN.OWENS@sakilacustomer.org,183.0,97.74,['English             '],"['Animation', 'Drama', 'Foreign', 'Games', 'Travel']",Caracas,['00s']
112,ROSA REYNOLDS,ROSA.REYNOLDS@sakilacustomer.org,183.0,133.7,['English             '],"['Animation', 'Classics', 'Documentary', 'Family', 'Games']",Lancaster,['00s']
113,CINDY FISHER,CINDY.FISHER@sakilacustomer.org,183.0,113.71,['English             '],"['Action', 'Documentary', 'Foreign', 'Games', 'Sci-Fi']",Cuman,['00s']
114,GRACE ELLIS,GRACE.ELLIS@sakilacustomer.org,183.0,139.67,['English             '],"['Classics', 'Drama', 'Family', 'Foreign', 'Sports']",Duisburg,['00s']
115,WENDY HARRISON,WENDY.HARRISON@sakilacustomer.org,183.0,91.7,['English             '],"['Action', 'Children', 'Classics', 'Foreign', 'Music']",Nezahualcyotl,['00s']
116,VICTORIA GIBSON,VICTORIA.GIBSON@sakilacustomer.org,183.0,111.73,['English             '],"['Animation', 'Classics', 'Family', 'Foreign', 'Games']",Pemalang,['00s']
117,EDITH MCDONALD,EDITH.MCDONALD@sakilacustomer.org,183.0,71.81,['English             '],"['Children', 'Drama', 'Foreign', 'Sci-Fi', 'Sports']",Gandhinagar,['00s']
118,KIM CRUZ,KIM.CRUZ@sakilacustomer.org,183.0,82.79,['English             '],"['Classics', 'Comedy', 'Foreign', 'Horror', 'Sports']",Grand Prairie,['00s']
119,SHERRY MARSHALL,SHERRY.MARSHALL@sakilacustomer.org,183.0,153.66,['English             '],"['Action', 'Drama', 'Family', 'Sci-Fi', 'Sports']",Shubra al-Khayma,['00s']
120,SYLVIA ORTIZ,SYLVIA.ORTIZ@sakilacustomer.org,183.0,143.68,['English             '],"['Documentary', 'Drama', 'Games', 'Music', 'Sports']",Dos Quebradas,['00s']
121,JOSEPHINE GOMEZ,JOSEPHINE.GOMEZ@sakilacustomer.org,183.0,109.74,['English             '],"['Action', 'Children', 'Comedy', 'Drama', 'Sports']",Etawah,['00s']
122,THELMA MURRAY,THELMA.MURRAY@sakilacustomer.org,183.0,126.68,['English             '],"['Classics', 'Documentary', 'Family', 'Sports', 'Travel']",Lima,['00s']
123,SHANNON FREEMAN,SHANNON.FREEMAN@sakilacustomer.org,183.0,100.76,['English             '],"['Action', 'Children', 'Drama', 'Family', 'Sports']",Varanasi (Benares),['00s']
124,SHEILA WELLS,SHEILA.WELLS@sakilacustomer.org,183.0,73.82,['English             '],"['Action', 'Children', 'Classics', 'Documentary', 'Drama']",Ktahya,['00s']
125,ETHEL WEBB,ETHEL.WEBB@sakilacustomer.org,183.0,135.68,['English             '],"['Action', 'Animation', 'Drama', 'Horror', 'Sports']",Boksburg,['00s']
126,ELLEN SIMPSON,ELLEN.SIMPSON@sakilacustomer.org,183.0,117.72,['English             '],"['Classics', 'Drama', 'Family', 'Foreign', 'Games']",Po,['00s']
127,ELAINE STEVENS,ELAINE.STEVENS@sakilacustomer.org,183.0,107.76,['English             '],"['Animation', 'Children', 'Classics', 'Family', 'Games']",Smolensk,['00s']
128,MARJORIE TUCKER,MARJORIE.TUCKER@sakilacustomer.org,183.0,127.68,['English             '],"['Animation', 'Comedy', 'Music', 'Sci-Fi', 'Sports']",Jastrzebie-Zdrj,['00s']
129,CARRIE PORTER,CARRIE.PORTER@sakilacustomer.org,183.0,124.66,['English             '],"['Children', 'Classics', 'Comedy', 'Games', 'Horror']",Liaocheng,['00s']
130,CHARLOTTE HUNTER,CHARLOTTE.HUNTER@sakilacustomer.org,183.0,93.76,['English             '],"['Classics', 'Family', 'Foreign', 'Games', 'Sci-Fi']",guas Lindas de Gois,['00s']
131,MONICA HICKS,MONICA.HICKS@sakilacustomer.org,183.0,128.7,['English             '],"['Animation', 'Comedy', 'Drama', 'Music', 'Sports']",Mukateve,['00s']
132,ESTHER CRAWFORD,ESTHER.CRAWFORD@sakilacustomer.org,183.0,95.72,['English             '],"['Animation', 'Classics', 'Foreign', 'Music', 'Sports']",Botshabelo,['00s']
133,PAULINE HENRY,PAULINE.HENRY@sakilacustomer.org,183.0,98.73,['English             '],"['Action', 'Documentary', 'Drama', 'Sci-Fi', 'Sports']",Torren,['00s']
134,EMMA BOYD,EMMA.BOYD@sakilacustomer.org,183.0,94.77,['English             '],"['Animation', 'Comedy', 'Documentary', 'Sports', 'Travel']",Qalyub,['00s']
135,JUANITA MASON,JUANITA.MASON@sakilacustomer.org,183.0,110.7,['English             '],"['Animation', 'Children', 'Games', 'Sci-Fi', 'Sports']",Pune,['00s']
136,ANITA MORALES,ANITA.MORALES@sakilacustomer.org,183.0,62.85,['English             '],"['Children', 'Classics', 'Documentary', 'Drama', 'Music']",Hubli-Dharwad,['00s']
137,RHONDA KENNEDY,RHONDA.KENNEDY@sakilacustomer.org,183.0,194.61,['English             '],"['Animation', 'Comedy', 'Horror', 'Sports', 'Travel']",Apeldoorn,['00s']
138,HAZEL WARREN,HAZEL.WARREN@sakilacustomer.org,183.0,110.66,['English             '],"['Action', 'Children', 'Drama', 'Games', 'Sports']",Hohhot,['00s']
139,AMBER DIXON,AMBER.DIXON@sakilacustomer.org,183.0,113.73,['English             '],"['Action', 'Animation', 'Drama', 'Foreign', 'Horror']",Touliu,['00s']
140,EVA RAMOS,EVA.RAMOS@sakilacustomer.org,183.0,83.82,['English             '],"['Family', 'Foreign', 'Games', 'Sci-Fi', 'Sports']",Clarksville,['00s']
141,DEBBIE REYES,DEBBIE.REYES@sakilacustomer.org,183.0,130.68,['English             '],"['Children', 'Comedy', 'Documentary', 'Games', 'Sci-Fi']",Fukuyama,['00s']
142,APRIL BURNS,APRIL.BURNS@sakilacustomer.org,183.0,94.74,['English             '],"['Action', 'Classics', 'Documentary', 'Foreign', 'Sports']",Dundee,['00s']
143,LESLIE GORDON,LESLIE.GORDON@sakilacustomer.org,183.0,89.78,['English             '],"['Action', 'Animation', 'Children', 'Documentary', 'Sci-Fi']",Kilis,['00s']
144,CLARA SHAW,CLARA.SHAW@sakilacustomer.org,183.0,195.58,['English             '],"['Classics', 'Comedy', 'Documentary', 'Drama', 'Family']",Molodetno,['00s']
145,LUCILLE HOLMES,LUCILLE.HOLMES@sakilacustomer.org,183.0,108.72,['English             '],"['Animation', 'Drama', 'Foreign', 'Sci-Fi', 'Travel']",Soshanguve,['00s']
146,JAMIE RICE,JAMIE.RICE@sakilacustomer.org,183.0,139.71,['English             '],"['Action', 'Animation', 'Drama', 'Games', 'Music']",Sterling Heights,['00s']
147,JOANNE ROBERTSON,JOANNE.ROBERTSON@sakilacustomer.org,183.0,127.66,['English             '],"['Action', 'Animation', 'Drama', 'Family', 'Music']",Urawa,['00s']
148,ELEANOR HUNT,ELEANOR.HUNT@sakilacustomer.org,183.0,216.54,['English             '],"['Classics', 'Foreign', 'Games', 'Sci-Fi', 'Travel']",Saint-Denis,['00s']
149,VALERIE BLACK,VALERIE.BLACK@sakilacustomer.org,183.0,121.74,['English             '],"['Children', 'Documentary', 'Family', 'Sci-Fi', 'Sports']",Brockton,['00s']
150,DANIELLE DANIELS,DANIELLE.DANIELS@sakilacustomer.org,183.0,105.75,['English             '],"['Animation', 'Drama', 'Horror', 'Sci-Fi', 'Sports']",Hidalgo,['00s']
151,MEGAN PALMER,MEGAN.PALMER@sakilacustomer.org,183.0,92.73,['English             '],"['Action', 'Animation', 'Drama', 'Horror', 'Travel']",Laiwu,['00s']
152,ALICIA MILLS,ALICIA.MILLS@sakilacustomer.org,183.0,83.79,['English             '],"['Animation', 'Children', 'Comedy', 'Documentary', 'Drama']",Nagaon,['00s']
153,SUZANNE NICHOLS,SUZANNE.NICHOLS@sakilacustomer.org,183.0,94.76,['English             '],"['Action', 'Children', 'Classics', 'Comedy', 'Horror']",Jakarta,['00s']
